2026-06-10 14:41:27 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:45:04 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:46:32 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:51:02 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:51:09 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:51:17 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
{"timestamp": "2026-06-10T14:53:54.925402", "level": "INFO", "logger": "root", "module": "log_config", "line": 75, "message": "Logging initialized — file=D:\\xiangmuji\\transVideo\\logs\\transvideo.log level=INFO console=True"}
{"timestamp": "2026-06-10T14:53:54.933383", "level": "INFO", "logger": "test", "module": "", "line": 0, "message": "Structured logger works", "video_id": "abc", "elapsed_ms": 42}
{"timestamp": "2026-06-10T14:54:43.705860", "level": "INFO", "logger": "root", "module": "log_config", "line": 75, "message": "Logging initialized — file=D:\\xiangmuji\\transVideo\\logs\\transvideo.log level=INFO console=True"}
{"timestamp": "2026-06-10T14:55:36.611219", "level": "INFO", "logger": "root", "module": "log_config", "line": 75, "message": "Logging initialized — file=D:\\xiangmuji\\transVideo\\logs\\transvideo.log level=INFO console=True"}
2026-06-10 15:00:51 | INFO     | backend.routers.analysis | analysis.py:55 | Analysis thread started for aec87102d36e4d21 (type=commercial)
2026-06-10 15:00:52 | INFO     | pyscenedetect | scene_manager.py:547 | Detecting scenes...
